latitude,longitude,date_start,date_end,best_est
31.611795,65.705795,02/21/2013 00:00:00,02/21/2013 00:00:00,1
34.36058,63.250427,05/21/2013 00:00:00,05/21/2013 00:00:00,6
35.010389,68.787686,07/25/2013 00:00:00,07/31/2013 00:00:00,1
34.825481,70.084213,01/01/2013 00:00:00,01/01/2013 00:00:00,2
34.302696,69.769791,01/02/2013 00:00:00,01/02/2013 00:00:00,6
31.270823,64.091336,01/01/2013 00:00:00,01/03/2013 00:00:00,19
32.48418,65.038714,01/01/2013 00:00:00,01/03/2013 00:00:00,10
35.62845,69.177197,01/01/2013 00:00:00,01/03/2013 00:00:00,1
31,64,01/03/2013 00:00:00,01/03/2013 00:00:00,1
34.5,69.416667,01/05/2013 00:00:00,01/06/2013 00:00:00,2
32.997793,66.690348,01/05/2013 00:00:00,01/05/2013 00:00:00,4
32.83333,66,01/05/2013 00:00:00,01/06/2013 00:00:00,1
34.25,68,01/05/2013 00:00:00,01/06/2013 00:00:00,1
33.33333,67.75,01/05/2013 00:00:00,01/06/2013 00:00:00,1
33.383334,69.883334,01/05/2013 00:00:00,01/06/2013 00:00:00,1
32.5,62.5,01/05/2013 00:00:00,01/06/2013 00:00:00,1
31.00568,66.4002,01/06/2013 00:00:00,01/06/2013 00:00:00,7
31,64,01/06/2013 00:00:00,01/06/2013 00:00:00,1
31.625941,63.861445,01/06/2013 00:00:00,01/06/2013 00:00:00,1
31.657416,64.531433,01/06/2013 00:00:00,01/06/2013 00:00:00,4
32.109373,63.972829,01/07/2013 00:00:00,01/07/2013 00:00:00,2
31.825565,64.63439,01/07/2013 00:00:00,01/07/2013 00:00:00,2
34.1725,70.2072,01/07/2013 00:00:00,01/08/2013 00:00:00,2
34.227055,70.146752,01/07/2013 00:00:00,01/08/2013 00:00:00,2
32.83333,66,01/07/2013 00:00:00,01/08/2013 00:00:00,1
34.25,68,01/07/2013 00:00:00,01/08/2013 00:00:00,1
